0,1154533
0,1944883
0,2112777
0,3586692
-0,03021818
-0,1889822
0,0268473
-0,4076707
0,3924431
0,236339
0,1547636
0,05169922
0,4461044
-0,1931819
0,1553868
-0,4384593
-0,009498894
0,06647021
-0,4875885
0,05825585
-0,00248915
-0,1741536
-0,2805374
-0,3797837
0,4213678
-0,008758366
0,4695355
0,3008329
-0,4495826
0,1143202
0,398327
0,0981856
0,1752537
-0,3998725
0,4269811
0,4777547
0,4400808
-0,4666364
-0,4435136
-0,2747362
-0,344856
0,4510576
-0,052185
-0,2566463
0,3175081
0,234882
0,1087955
0,4637516
-0,1415172
0,3889749
0,4340987
0,2767243
0,4823821
-0,4872602
-0,2416113
0,2914127
0,03852826
0,04265755
-0,134259
-0,2030386
-0,123746
0,4831933
0,3904285
-0,2154121
-0,1748422
-0,2278776
0,2845428
-0,3025662
0,3605601
-0,2092111
-0,2629768
0,3767393
0,25327
0,2477598
0,3940262
0,3132218
-0,0747202
-0,2920941
-0,0008429885
-0,06209928
-0,08832461
-0,1439214
0,1283853
-0,3934512
-0,3078599
-0,1646604
-0,4702071
0,4475615
0,09353036
0,4609919
0,03746682
0,4236748
-0,4828094
0,3780638
-0,1363067
0,2015774
0,1135048
-0,4406551
0,3700018
-0,289915
-0,2692422
0,4932481
-0,02916199
-0,2497627
-0,308535
-0,1619001
-0,05657405
0,3632164
-0,288185
-0,2457046
-0,007299483
0,4103038
-0,4104871
-0,08425862
-0,00824672
0,07464939
-0,1014225
0,3488822
0,2721536
0,4614741
0,001149952
0,3626398
0,3518163
-0,04036337
-0,4774604
-0,2508465
0,009845674
-0,01218385
0,1535288
0,1990594
-0,003458083
-0,2315906
0,4311959
-0,1725014
-0,07169884
0,1529882
-0,1668418
0,4568412
0,1758172
-0,3193779
0,3462263
-0,4207504
0,3640186
-0,4884686
0,04643232
-0,1742669
0,1935632
-0,03820938
0,2254062
0,3924983
0,0108847
0,07553047
-0,01390117
-0,2458562
-0,4424939
0,3807262
-0,2219144
0,2603383
-0,206933
0,496859
0,2385986
